SLIPID,SLIPTIMESTAMP,PLAYER_ID,CURRENTSF,LOGSF,STAKE,GGR,BETODD,SPORTNAMEENGLISH,LEAGUENAMEENGLISH,EVENTDESCRIPTION,GAMEDESCRIPTION,Market Name,Market Name Corners,RESULTDESCRIPTION,SRC_EVENT_ID,GOAL_EXP_HOME,GOAL_EXP_AWAY,DRAW_FACTOR,FIRST_HALF_GOALS_PERC,INJURY_TIME_1ST_HALF,INJURY_TIME_2ND_HALF,MINUTES,Data Set,Default 1st Half Injury Time,1st Half Injury Time change?,Magnitude of change,Magnitude of change relative
7684263671,0.02630787,566290886,0.01,1,55.2091524,55.2091524,2.9,Football,UEFA Europa League,OGC Nice - Rangers FC,1st Half - Total Corners,1st Half - Total Corners,1st Half - Total Corners,"Over 2,5",7507844,1.531,1.2912,0.9409,0.4734,2,5,36,Dynamic,2,1st Half Inj Time increased,3,3
7656632713,0.039664352,703331260,0.01,1,24.565416,24.565416,3.3,Football,World Cup Qualification - AFC,Bahrain - Australia,Total Corners,Total Corners,Total Corners,"Under 7,5",7511249,0.3242,1.3289,0.9499,0.437,4,5,81,Dynamic,2,1st Half Inj Time increased,2,2
7611842133,0.018113426,644972265,0.3,0.3,1.5940421,1.5940421,1.68,Football,Brasileiro Serie A,SC Corinthians SP - SE Palmeiras SP,SE Palmeiras SP - Total Corners,Medium Jolly - Total Corners,Slight Corner Jolly - Total Corners,"Over 10,5",7501750,0.9537,1.6545,0.946,0.437,5,5,60,Dynamic,2,1st Half Inj Time increased,3,3
7611260824,0.026608796,703079360,0.01,1,7.9702105,-6.3761684,1.8,Football,Premier League,Fulham - Brentford,Fulham - Total Corners,Strong Jolly - Total Corners,Medium Corner Jolly - Total Corners,"Over 8,5",6571811,2.0841,0.8206,0.9524,0.437,2,7,79,Dynamic,4,1st Half Inj Time decreased,2,-2
7843187873,0.013483796,510957444,0.3,0.3,5.86149458,5.86149458,1.82,Football,Pro League,Club Brugge - KV Kortrijk,Club Brugge - Total Corners,Strong Jolly - Total Corners,Medium Corner Jolly - Total Corners,"Over 8,5",7532881,2.7765,0.5661,0.9484,0.4486,2,5,34,Dynamic,2,1st Half Inj Time increased,1,1
7865809355,0.01912037,708107586,0.3,0.3,16.34684,-16.0199032,1.98,Football,Serie A,AC Milan - Inter Milan,Inter Milan - Total Corners,Strong Jolly - Total Corners,Slight Corner Jolly - Total Corners,"Over 7,5",7540633,1.0644,2.0801,0.9526,0.437,1,6,60,Dynamic,3,1st Half Inj Time decreased,2,-2
7784818034,0.027858796,707789371,0.01,1,25,-7.25,1.29,Football,LaLiga,Valencia CF - Real Madrid,1st Half - Total Corners,1st Half - Total Corners,1st Half - Total Corners,"Over 3,5",7529841,0.757,2.3702,0.9691,0.4191,4,7,37,Dynamic,4,1st Half Inj Time decreased,1,-1
7684263991,0.026388889,703081434,0.01,1,313.7178895,313.7178895,2.9,Football,UEFA Europa League,OGC Nice - Rangers FC,1st Half - Total Corners,1st Half - Total Corners,1st Half - Total Corners,"Over 2,5",7507844,1.531,1.2912,0.9409,0.4734,2,5,36,Dynamic,2,1st Half Inj Time increased,3,3
7627710144,0.003761574,515557372,0.01,0.3,26.3043805,-65.76095125,3.5,Football,Serie A,Cagliari - AC Milan,Corners Matchbet,Corners Matchbet,Corners Matchbet,Cagliari,7504156,1.0844,1.7502,0.9414,0.437,3,6,45,Dynamic,3,No change in 1st Half Inj Time,0,0
7726375072,0.031365741,703885706,0.01,1,40.6667716,40.6667716,1.63,Football,UEFA Champions League,Arsenal - AS Monaco,Total Corners,Total Corners,Total Corners,"Over 4,5",7515868,2.2176,0.7379,0.974,0.454,2,5,44,Dynamic,2,1st Half Inj Time decreased,1,-1
